id,entity,faction,desc id,default
chitagupta_default,eis_chitagupta,ironshell,planet_chitagupta_ironshell,TRUE
yami_default,eis_yami,ironshell,planet_yami_ironshell,TRUE
,,,,
hanan_pacha_default,hanan_pacha,,planet_hanan_pacha,TRUE
hanan_pacha_ironshell,hanan_pacha,ironshell,planet_hanan_pacha_ironshell,
,,,,
kanni,kanni,,planet_kanni,TRUE
kanni_ironshell,kanni,ironshell,planet_kanni_ironshell,
,,,,
asharu_ironshell,asharu,ironshell,planet_asharu_hegemony,
garnir_ironshell,corvus_IIIa,ironshell,planet_garnir_hegemony,
garnir_station_ironshell,corvus_pirate_station,ironshell,station_garnir_hegemony,
barad_ironshell,barad,ironshell,planet_barad_hegemony,
warion_ironshell,corvus_IIIb,ironshell,planet_warion_hegemony,
gilead_ironshell,gilead,ironshell,planet_gilead_hegemony,
asher_ironshell,asher,ironshell,planet_asher_hegemony,
mairaath_ironshell,mairaath,ironshell,planet_mairaath_hegemony,
culann_ironshell,culann,ironshell,planet_culann_hegemony,
donn_ironshell,donn,ironshell,planet_donn_hegemony,
nomios_ironshell,nomios,ironshell,planet_nomios_hegemony,
kantas_den_ironshell,kantas_den,ironshell,station_kantas_den_hegemony,
ogre_ironshell,tia2,ironshell,planet_ogre_hegemony,
epiphany_ironshell,epiphany,ironshell,planet_epiphany_hegemony,
