name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Iron Shell,CHM_ironshell,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_ironshell,"Iron Shell operatives must take proactive shield measures to ensure the best defenses against their enemies' common weaponry. Takes %s/%s/%s/%s less damage from beam weapons, scaling on hull size.",Take reduced dmg,,graphics/hullmods/ironstandseternal.png
,,,,,,,,,,,,,,,,,,,
Zandatsu Subsystems,eis_zandatsu,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_zandatsu,"A highly-experimental and untested combination of Iron Shell's Revengeance defense system and 'Jump' boosters. When activated, the ship system unleashes a concussive blast, reflecting missiles, while the ship itself nimbly lunges in the direction of its current velocity, avoiding ships and weapon fire. Successfully reflecting missiles supercharges the Zandatsu Subystems, boosting their effectiveness.",Half-AAF ,,graphics/hullmods/eis_zandatsu.png
Missile Microforge,eis_microforge,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_microforge,A compact prototype missile autoforge. Periodically forges missiles for small launchers.,Missile Forge,,graphics/hullmods/eis_microforge.png
Perfect Vengeance Core,eis_perfect_vengeance,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_perfectvengeancecore,"PLACEHOLDER. This Vengeance Core is perfected. Reflects all missiles in a small radius. Successfully reflecting a missile supercharges the ship's vengeance core, improving shield efficiency and engine flow. Failing to reflect any missiles will result in the vengeance core overloading, massively increasing damage received by shields and doubling shield radius as well as disrupting its engine flow.

Does not work with Shield Shunt.",,,graphics/hullmods/eis_perfect_vengeance_core.png
Vengeance Core,eis_vengeance,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_vengeancecore,<>,,,graphics/hullmods/eis_vengeance_core.png
Perfect Vengeance Core,eis_vengeance_dauntless,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_vengeance_dauntless,<>,,,graphics/hullmods/eis_perfect_vengeance_core.png
Vengeance Receiver,eis_vengeance2,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_audaciousrelay,"Audacious-class destroyers have subsystems relays that can synchronize with Vengeance-class cruisers to temporarily increase combat performance. However, these subsystem relays interfere with its fighter uplink system.",,,graphics/hullmods/eis_audacious_relay.png
Cramped Hull,eis_indomitable,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_indomitable,"Due to the sheer amount of heavy armor plating and complicated subsystems within the Indomitable's hull, it cannot support the full complement of missile weapons that its structure technically allows.",,,graphics/hullmods/eis_ram.png
Cramped Hull,eis_renowncramped,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_renowncramped,"Due to design conflicts between the Renown's drone microforges and ordinance storage, it cannot effectively support the full complement of missile weapons that its structure technically allows.",,,graphics/hullmods/eis_ram.png
Renown Mounts,eis_renownmounts,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_renownmounts,<>,Flux,,graphics/hullmods/eis_aquilaweapon.png
Heavy Weapon Integration,eis_heavyweaponintegration,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_heavyweaponintegration,Reduces the ordnance point cost of large ballistic and energy weapons by %s.,Reduces ordnance point cost of large ballistic and energy weapons.,,graphics/hullmods/ballistics_integration.png
Prototype Point-Defense Core,eis_prototypetu,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_prototypetu,Should not be visible.,Range,,graphics/hullmods/ironstoodeternol.png
Aegis PD Suite,eis_aegissuite,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_aegissuite,Should not be visible.,Terminator Core Copy,,graphics/hullmods/ironstoodeternol.png
Peacekeeper Interception Core,eis_peacekeepercore,,,Iron Shell,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.eis_peacekeepercore,Should not be visible.,Terminator Core Copy,,graphics/hullmods/ironstoodeternol.png
Happy Birthday!,eis_happybirthday,,,Iron Shell,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.eis_happybirthday,Should not be visible.,Terminator Core Copy,,graphics/hullmods/ironstoodeternol.png
Hegemony Mining Pod,eis_mining,,,Iron Shell,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.eis_mining,This converts all your weapons into PD.,Terminator Core Copy,,graphics/hullmods/ironstoodeternol.png
#Return!,eis_support_return,,,Iron Shell,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.eis_support_return,Should not be visible anyway. Have crash.,Terminator Core Copy,,graphics/hullmods/ironstoodeternol.png
#Holy Based,eis_ballisticcomp,,,Iron Shell,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.eis_ballisticcomp,50 flux on ballistic composite mount,,,
,,,,,,,,,,,,,,,,,,,
Aquila Reactor Protocol,eis_aquila,3,,Iron Shell,"special, engines, offensive, merc, no_drop","Special, Engines",10000,,,,5,10,15,25,data.scripts.hullmods.eis_aquila,"Subsystems are fine-tuned for speed and active venting efficiency. Causes interference with modifications that affect weapon range, preventing their range boosting capabilities.","Drastic improvement in speed, maneuverability, and active venting speed, lower peak time.",,graphics/hullmods/eis_aquila.png
