name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadsword (XIV),eis_broadsword,,XIV Battlegroup,flarelauncher_fighter,,800,125,120,,15,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,,
Gladius (XIV),eis_gladius,,XIV Battlegroup,flarelauncher_single,,600,120,270,,55,0,,300,400,300,150,300,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,,
Warthog (XIV),eis_warthog,,XIV Battlegroup,,,800,200,270,,60,0,,115,160,135,90,180,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,,
Xyphos (XIV),eis_xyphos,,XIV Battlegroup,,,450,75,670,,55,0,,160,300,250,90,180,30,FRONT,,240,0,1,,,2,2,,,,,,,,,,,,,,,,0,,,,
Kopis (XIV),eis_kopis,,XIV Battlegroup,ammofeed,,500,75,230,,55,0,,200,320,280,110,220,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,,
Khopesh (XIV),eis_khopesh,,XIV Battlegroup,,,500,90,570,,105,0,,160,210,180,55,110,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,,
Dagger (XIV),eis_dagger,,XIV Battlegroup,,,350,25,250,,75,0,,175,350,250,90,180,10,FRONT,,240,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,,
Gunblade (XIV),eis_gunblade,,Iron Shell,,,500,150,250,,105,0,,250,330,300,200,300,25,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,,
Gunshield (XIV),eis_gunshield,,Iron Shell,,,650,150,200,,50,0,,160,300,250,200,300,30,FRONT,,160,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,,
Mining Pod (H),eis_mining_drone,,Hegemony,,,600,150,1500,,100,0,,110,70,70,40,80,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,
Talon (H),eis_talon,,Hegemony,,,250,60,470,,105,0,,290,360,270,135,270,10,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,,
Piranha (XlV),eis_piranha,,XlV Battlegroup,,,500,100,270,,105,0,,150,200,200,40,120,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,1,4,4,,
