id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
eis_broadsword_wing,eis_broadsword_Fighter,"fighter4, fighter, mid, eis_bp",0,,6,11,V,4000,500,,3,FIGHTER,Heavy Fighter,10,7500,,,,,,,,,,,,,
eis_gladius_wing,eis_gladius_Fighter,"fighter4, fighter, mid, eis_bp",2,,6,7,V,4000,500,300,2,FIGHTER,Fighter,12,12500,,,,,,,,,,,,,
eis_xyphos_wing,eis_xyphos_Fighter,"support3, fighter, low, eis_bp",3,,7,20,V,0,500,,2,SUPPORT,Support,15,10000,,,,,,,,,,,,,
eis_kopis_wing,eis_kopis_Fighter,"bomber3, bomber, mid, eis_bp",1,,5,10,CLAW,4000,400,500,3,BOMBER,Bomber,12,9000,,,,,,,,,,,,,
eis_dagger_wing,eis_dagger_Bomber,"bomber4, bomber, mid, eis_bp",2,,5,20,V,4000,1500,600,3,BOMBER,Bomber,15,10000,,,,,,,,,,,,,
eis_thunder_mk2_wing,eis_thunder_mk2_Fighter,"fighter3, interceptor, mid, eisceleste_bp, rapid_reform, auto_fighter",2,,6,15,V,6000,500,900,3,FIGHTER,Heavy Interceptor,15,8500,,,,,,,,,,,,,
eis_peacekeeper_wing,eis_peacekeeper_Superiority,"fighter5, fighter, mid, eis_bp, eisceleste_bp, leader_no_swarm, rapid_reform, rd_no_extra_craft",3,,9,20,V,6000,600,,2,INTERCEPTOR,Space Superiority,20,14000,,,,,,,,,,,,,
eis_amity_wing,eis_amity_elite,"bomber5, bomber, mid, eisceleste_bp, rd_no_extra_craft, auto_fighter",3,,9,21,V,4000,1400,,1,BOMBER,Heavy Bomber,21,14000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eis_gunblade_wing,eis_gunblade_Fighter,"no_buy, no_drop, no_sell",3,,5,0,BOX,0,200,,2,SUPPORT,Point Defense,10,6000,,,,,,,,,,,,,
eis_gunshield_wing,eis_gunshield_Defender,"no_buy, no_drop, no_sell",1,,5,0,V,0,200,,2,SUPPORT,Point Defense,15,6000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Pirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eis_piranha_wing,eis_piranha_Bomber,"bomber4, bomber, low, pirates",2,,4,8,CLAW,4000,1200,600,1,BOMBER,Bomber,10,8000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Depreciated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eis_mining_drone_wing,eis_mining_drone_Standard,"support1, drone, auto_fighter, restricted, no_drop, no_sell",0,,5,1,BOX,2500,500,,3,FIGHTER,Drone,10,2000,,,,,,,,,,,,,
eis_talon_wing,eis_talon_Interceptor,"interceptor2, interceptor, low, restricted, no_drop, no_sell",0,,3,2,V,4000,250,600,3,INTERCEPTOR,Interceptor,5,2500,,,,,,,,,,,,,
eis_warthog_wing,eis_warthog_Fighter,"support3, fighter, mid, restricted, no_drop, no_sell",1,,7,12,V,2000,800,,2,SUPPORT,Support,18,11000,,,,,,,,,,,,,
eis_khopesh_wing,eis_khopesh_Support,"support3, bomber, low, restricted, no_drop, no_sell",1,,4,12,V,2000,800,,2,SUPPORT,Support,18,9000,,,,,,,,,,,,,
eis_thunder_wing,eis_thunder_Fighter,"fighter3, interceptor, mid, rapid_reform, restricted, no_drop, no_sell",2,,6,10,V,6000,500,900,2,FIGHTER,Fighter,15,8500,,,,,,,,,,,,,
